title,price,location,details
"Appartement Danielle, Pieds dans l'eau à Hammamet",,,1 300 000 TND | Hammamet | 189m² | 3 Pièces | 2 Chambres
A vendre Appartement en s2 sis à Ben Arous,,,98 000 TND | Ben Arous | 100m² | 1 Pièce | 2 Chambres
"Appartement Samaris, pieds dans l'eau Hammamet",,,1 350 000 TND | Hammamet | 120m² | 4 Pièces | 3 Chambres
À vendre –S1 à Chott Mariem / pieds dans l’eau,,,175 000 TND | Chott Meriem | 500000m² | 2 Pièces | 1 Ch.
Appartement Yvette Hammamet Nord,,,"490 000 TND | Hammamet Nord, Hammamet | 119m² | 3 Pièces | 2 Chambres"
"Titre bleu: Grand appartement  
2 garages",,,"230 000 TND | Kélibia, Kélibia | 155m² | 4 Pièces | 2 Chambres"
Un appartement s2 à cité les palmeraies,,,"295 000 TND | El Aouina, Tunis | 110m² | 3 Pièces | 2 Chambres"
Duplex s3 avec piscine à la soukra,,,"860 000 TND | Chotrana 1, La Soukra | 250m² | 4 Pièces | 3 Chambres"
Fabuleux appartement S2 à vendre à Bou Mhel,,,"335 000 TND | Bou Mhel Bassatine, Bou Mhel Bassatine | 104m² | 3 Pièces | 2 Chambres"
À VENDRE –Appartement S2 – Utica 2. B,,,"725 000 TND | Gammarth Supérieur, La Marsa | 113m² | 3 Pièces | Terrasse"
APPART S4 à la Marina de Gammarth,,,"1 250 000 TND | Gammarth Village, La Marsa | 200m² | 5 Pièces | 4 Chambres"
Bel appartement à vendre à Sidi Hassine,,,"106 585 TND | Sidi Hassine, Tunis | 66m² | 2 Pièces | Jardin"
Appartement S2 avec Grande Terrasse,,,"506 000 TND | Chotrana 1, La Soukra | 112m² | 3 Pièces | 2 Chambres"
Duplex avec jardin et Piscine au Perle du Lac,,,"Prix à consulter | La Perle du Lac 1, Tunis | 266m² | 4 Pièces | 3 Chambres"
S3 de 162 m² à Jinene Soukra 1 Chotrana 3,,,"Prix à consulter | Chotrana 3, La Soukra | 162m² | 4 Pièces | 3 Chambres"
Vend appartement,,,"480 000 TND | Sahloul, Sousse | 133m² | 4 Pièces | 2 Chambres"
S2 à vendre aux Jardins de Carthage. Surface 121 m² B1 4,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 121m² | 3 Pièces | 2 Chambres"
Appartement S3 À El Mourouj 3,,,"180 000 TND | El Mourouj 3, El Mourouj | 110m² | 4 Pièces | 3 Chambres"
Appartement S2 à Ain Zaghouan nord,,,"400 000 TND | Ain Zaghouan Nord, La Marsa | 115m² | 3 Pièces | 2 Chambres"
Appartement S1 au berges du lac 2,,,"380 000 TND | Les Berges Du Lac 2, Tunis | 47m² | 2 Pièces | 1 Ch."
Appartement S3 à ain Zaghouan,,,"550 000 TND | Ain Zaghouan Nord, La Marsa | 156m² | 4 Pièces | 3 Chambres"
Le projet immobilier Résidence Emna,Prix à consulter,,"Prix à consulter | IMMOBILIER NEUF | Cité el Ghazela, Raoued | Haut standing | Finalisé"
Appartement S3 à l’aouina,,,"320 000 TND | El Aouina, Tunis | 140m² | 4 Pièces | 3 Chambres"
À VENDRE –Appartement S3 – Maharbal 1. B. 2,,,"1 070 000 TND | Gammarth Supérieur, La Marsa | 170m² | 3 Pièces | Terrasse"
Appartement A33 – Résidence MAYA à Kairouan,,,229 125 TND | Kairouan Ville | 97m² | 3 Pièces | 2 Chambres
S2 de 122 m2 avec jardin au RDC 93 m2,,,"640 000 TND | La Soukra Ville, La Soukra | 122m² | 3 Pièces | 2 Chambres"
Appartement en vente à El Omrane Supérieur. Surface de 103 m...,,,"Prix à consulter | Les Jardins d'El Menzah 1, Ariana | 107m²"
DUPLEX D'Exception. Résidence AVA aux jardins de carthage D0...,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 353m² | 4 Pièces | 3 Chambres"
À vendre s3 à la soukra,,,"545 000 TND | La Soukra Ville, La Soukra | 154m² | 4 Pièces | 3 Chambres"
Appartement S2 direct promoteur,,,"430 000 TND | Chotrana 1, La Soukra | 110m² | 3 Pièces | 2 Chambres"
Appartement en vente à Chotrana 1. Superficie 75 m². Double...,,,"269 000 TND | Chotrana 1, La Soukra | 75m² | 2 Pièces | 1 Ch."
À vendre Appartement en S3 de 146 m² à Ezzahra,,,"325 000 TND | Cité 18 Janvier, Ezzahra | 146m² | 1 Pièce | 3 Chambres"
Un magnifique Appartement S3 au Lac 2,,,"950 000 TND | Les Berges Du Lac 2, Tunis | 220m² | 1 Pièce | 3 Chambres"
Appatement s3 aux les berges du lac 1 vue sur lac,,,"Prix à consulter | La Perle du Lac 1, Tunis | 350m² | 4 Pièces | 3 Chambres"
S1 de 83m² avec piscine privée à Hammamet Nord,,,"395 000 TND | Hammamet Nord, Hammamet | 83m² | 2 Pièces | 1 Ch."
A Vendre S2 neuf à Hammam Sousse,,,"290 000 TND | Hammam Sousse Ghrabi, Hammam Sousse | 91m² | 3 Pièces | 2 Chambres"
A Vendre des appartements S2 neufs,,,"289 000 TND | Hammam Sousse Ghrabi, Hammam Sousse | 90m² | 3 Pièces | 2 Chambres"
S3 sur plan en vente a kantaoui,,,"Prix à consulter | El Kantaoui, Hammam Sousse | 161m² | 4 Pièces | 3 Chambres"
"Appartement S  2 à vendre, Résidence MALAGA 2 La Marsa",,,"660 000 TND | Cité Les Pins, La Marsa | 119m² | 3 Pièces | 2 Chambres"
A Vende un appartement en s3 au Bardo,,,"360 000 TND | Le Bardo, Le Bardo | 127m² | 4 Pièces | 3 Chambres"
Appartement à l'achat. Surface de 159 m²,,,"Prix à consulter | Bizerte Centre Ville, Bizerte | 159m² | 2 Chambres | 2 Salles de bains"
S2 à la Soukra d'une superficie de 127.76 m²,,,"Prix à consulter | La Soukra Ville, La Soukra | 128m² | 4 Pièces | 2 Chambres"
S3 en vente,,,"660 000 TND | Les Jardins de Carthage, La Marsa | 170m² | 4 Pièces | 3 Chambres"
Opportunité d'unS2 Moderne et Fonctionnet,,,"580 000 TND | Sahloul, Sousse | 183m² | 3 Pièces | 2 Chambres"
Appartement S3 à Jardin de Carthage,,,"690 000 TND | Les Jardins de Carthage, La Marsa | 140m² | 3 Pièces | 3 Chambres"
S2 de 107 m²,,,"470 000 TND | Yasmine Hammamet, Hammamet | 107m² | 3 Pièces | 2 Chambres"
S2 de 110m² à hammamet Sud,,,"310 000 TND | Hammamet Sud, Hammamet | 110m² | 3 Pièces | 2 Chambres"
S3 Neuf de 177m² à Jinene Soukra 1 Chotrana 3,,,"Prix à consulter | Chotrana 3, La Soukra | 177m² | 4 Pièces | Terrasse"
Superbe appartement à vendre. Superficie 94 m²,,,"340 000 TND | Sahloul, Sousse | 94m² | 2 Pièces | 1 Ch."
Vend appartement à Les Jardins de Carthage. Superficie 279 m...,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 279m² | 3 Chambres | 2 Salles de bains"
A Louer Appartement S3 Meuble a la Marsa Plage,Prix à consulter,,"Prix à consulter | La Marsa Ville, La Marsa | 150m² | 3 Chambres | 3 Salles de bains"
A Vendre un S3 de 230 m² aux Jardins De Carthage,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 250m² | 2 Pièces | 3 Chambres"
À vendre un Appartement S3 à La Marsa Les Pins,,,"850 000 TND | Cité Les Pins, La Marsa | 160m² | 4 Pièces | 3 Chambres"
À Vendre appartement S2 à Sidi Daoued La Marsa,,,"350 000 TND | Sidi Daoued, La Marsa | 84m² | 2 Chambres | 1 Salle de bain"
Résidence Floria - Cité el Ghazela,À partir de 339 000 TND,,"À partir de 339 000 TND | À partir de | IMMOBILIER NEUF | Cité el Ghazela, Raoued | Haut standing"
